"RFO_Part","Section_Number","Propositional_ID","Natural_Language","Atomic_Propositions","Formal_Logic_Statement","Dependencies","Justification_Rules","Validation_Status","Logical_Check","Real_World_Check","Validation_Notes","Confidence_Level"
"6.1 (Presolicitation)","6.102_a","P_6_102_a","6.102(a) Full and open competition after excluding sources. Agencies may contract by providing for full and open competition after excluding one or more sources under authorities specified in this section (see 10 U.S.C. 3203 and 41 U.S.C. 3303).","P_6_102_a_a: Agencies may contract by providing for full and open competition after excluding one or more sources under authorities specified in this section.","P_6_102_a_a","None","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Permissive statement; optional action.","HIGH"
"6.1 (Presolicitation)","6.102_b","P_6_102_b","6.102(b) Acquisitions made under this section require use of the competitive procedures outlined in 6.101(b).","P_6_102_b_a: Acquisitions made under this section require use of the competitive procedures outlined in 6.101(b).","P_6_102_b_a","P_6_101_b","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Cross-references 6.101(b) for required procedures. Mandatory requirement; enforceable.","HIGH"
"6.1 (Presolicitation)","6.102_c","P_6_102_c","6.102(c) Acquisitions under this section do not require separate justification and approval or determination and findings.","P_6_102_c_a: Acquisitions under this section do not require separate justification and approval or determination and findings.","P_6_102_c_a","None","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Exemption from J&A/D&F requirement properly stated.","HIGH"
"6.1 (Presolicitation)","6.102-1_a","P_6_102_1_a","6.102-1(a) Establishing or maintaining alternative sources. Agencies may exclude a particular source from a contract action to establish or maintain an alternative source of supply for that supply or service if the agency head determines that to do so would-- (1) Increase or maintain competition and likely result in reduced overall costs for the acquisition, or anticipated acquisition, of the supplies or services; (2) Serve the interests of national defense to have a facility (or a producer, manufacturer, or other supplier) available for furnishing the supplies or services in case of a national emergency or industrial mobilization; (3) Serve the interests of national defense by establishing or maintaining an essential engineering, research, or development capability to be provided by an educational or other nonprofit institution or a federally funded research and development center; (4) Ensure the continuous availability of a reliable source of supplies or services; (5) Satisfy projected needs based on a history of high demand for the supplies or services; or (6) Satisfy a critical need for medical, safety, or emergency supplies.","P_6_102_1_a1: Increase or maintain competition and likely result in reduced overall costs; P_6_102_1_a2: Serve the interests of national defense by having a facility available in case of emergency or mobilization; P_6_102_1_a3: Serve the interests of national defense by establishing or maintaining essential engineering, research, or development capability; P_6_102_1_a4: Ensure the continuous availability of a reliable source; P_6_102_1_a5: Satisfy projected needs based on a history of high demand; P_6_102_1_a6: Satisfy a critical need for medical, safety, or emergency supplies","(P_6_102_1_a1 v P_6_102_1_a2 v P_6_102_1_a3 v P_6_102_1_a4 v P_6_102_1_a5 v P_6_102_1_a6) -> Agencies may exclude a particular source","None","Addition (Add): Rule 8; Modus Ponens (MP): Rule 1","VALID","PASS","PASS","No contradictions detected. Disjunctive conditions; any one justification is sufficient to authorize source exclusion. Agency head determination required.","HIGH"
"6.1 (Presolicitation)","6.102-1_b","P_6_102_1_b","6.102-1(b)(1) Every proposed contract action under the authority of paragraph (a) of this section must be supported by a determination and findings (D&F) (see subpart 1.5) signed by the head of the agency or designee. This D&F must not be made on a class basis. (2) Technical and requirements personnel are responsible for providing all necessary data to support their recommendation to exclude a particular source. (3) When the authority in paragraph (a)(1) of this section is cited, the findings must include a description of the estimated reduction in overall costs and how the estimate was derived.","P_6_102_1_b1: Every proposed contract action under paragraph (a) must be supported by a D&F signed by the agency head or designee and the D&F must not be made on a class basis; P_6_102_1_b2: Technical and requirements personnel are responsible for providing all necessary data to support their recommendation; P_6_102_1_b3: When paragraph (a)(1) authority is cited, findings must include a description of estimated cost reduction and how the estimate was derived","(P_6_102_1_b1 ^ P_6_102_1_b2 ^ P_6_102_1_b3)","P_6_102_1_a","Conjunction (Conj): Rule 7","VALID","PASS","PASS","No contradictions detected. Conjunction of co-required procedural steps. All must be satisfied. Mandatory requirement; enforceable.","HIGH"
"6.1 (Presolicitation)","6.102-2","P_6_102_2","6.102-2 Set-asides for small business concerns. Contracting officers may set aside acquisitions for small business concerns. This authority also includes-- (a) Contract actions conducted under the Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) programs. (b) Contract actions set aside for specific small business socioeconomic categories (see part 19).","P_6_102_2_a: Contract actions conducted under SBIR and STTR programs; P_6_102_2_b: Contract actions set aside for specific small business socioeconomic categories","P_6_102_2_a v P_6_102_2_b","None","Addition (Add): Rule 8","VALID","PASS","PASS","No contradictions detected. Permissive statement with two inclusive categories. Cross-references part 19.","HIGH"
"6.1 (Presolicitation)","6.102-3","P_6_102_3","6.102-3 Set-asides for local firms during a major disaster or emergency. Contracting officers may set aside solicitations to allow only offerors residing or doing business primarily in the area affected by a major disaster or emergency (see part 26).","P_6_102_3_a: Contracting officers may set aside solicitations to allow only offerors residing or doing business primarily in the area affected by a major disaster or emergency.","P_6_102_3_a","None","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Permissive statement; optional action. Cross-references part 26.","HIGH"
"6.1 (Presolicitation)","6.103_a","P_6_103_a","6.103(a) Other than full and open competition. Agencies may contract without providing for full and open competition under authorities specified in this section (see 10 U.S.C. 3204 and 41 U.S.C. 3304).","P_6_103_a_a: Agencies may contract without providing for full and open competition under authorities specified in this section.","P_6_103_a_a","None","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Permissive statement establishing the authority for other than full and open competition.","HIGH"
"6.1 (Presolicitation)","6.103_b","P_6_103_b","6.103(b) Contracting without providing for full and open competition must not be justified on the basis of-- (1) A lack of planning by the requiring activity; or (2) Concerns related to the amount of funds available to the agency or activity for acquisition.","P_6_103_b_1: Contracting without full and open competition must not be justified on the basis of a lack of planning; P_6_103_b_2: Contracting without full and open competition must not be justified on the basis of concerns related to the amount of funds available","(P_6_103_b_1 ^ P_6_103_b_2)","None","Conjunction (Conj): Rule 7","VALID","PASS","PASS","No contradictions detected. Both prohibitions apply simultaneously. Mandatory restrictions; enforceable.","HIGH"
"6.1 (Presolicitation)","6.103_c","P_6_103_c","6.103(c) When not providing for full and open competition, the contracting officer must solicit offers from as many potential sources as is practicable under the circumstances.","P_6_103_c_a: When not providing for full and open competition, the contracting officer must solicit offers from as many potential sources as is practicable under the circumstances.","~Full_and_open_competition -> P_6_103_c_a","None","Modus Ponens (MP): Rule 1","VALID","PASS","PASS","No contradictions detected. Conditional requirement; properly structured as implication. Mandatory requirement; enforceable.","HIGH"
"6.1 (Presolicitation)","6.103_d","P_6_103_d","6.103(d) Except for contracts awarded under the authority of 6.103-5 and 6.103-7, an acquisition under this section requires-- (1) Consideration of all bids, proposals, quotations, or capability statements received; and (2) Justification and approval required by 6.104.","P_6_103_d_1: Consideration of all bids, proposals, quotations, or capability statements received; P_6_103_d_2: Justification and approval required by 6.104","~(P_6_103_5 v P_6_103_7) -> (P_6_103_d_1 ^ P_6_103_d_2)","P_6_103_5; P_6_103_7; P_6_104","Modus Ponens (MP): Rule 1; Conjunction (Conj): Rule 7","VALID","PASS","PASS","No contradictions detected. Default requirement with two exceptions (6.103-5 and 6.103-7). Both conditions (consideration of responses and J&A) required simultaneously. Cross-references 6.104.","HIGH"
"6.1 (Presolicitation)","6.103-1_a","P_6_103_1_a","6.103-1(a) Only one responsible source and no other supplies or services will satisfy agency requirements. Authority. 10 U.S.C. 3204(a)(1) or 41 U.S.C. 3304(a)(1).","P_6_103_1_a_a: Authority for sole source is 10 U.S.C. 3204(a)(1) or 41 U.S.C. 3304(a)(1).","P_6_103_1_a_a","None","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Statutory authority citation properly represented.","HIGH"
"6.1 (Presolicitation)","6.103-1_b","P_6_103_1_b","6.103-1(b) One responsible source. Agencies may contract without providing for full and open competition when the supplies or services required by the agency are available from only one responsible source and no other type of supplies or services will satisfy agency requirements. For DoD, NASA, and the Coast Guard, this authority extends to situations where only a limited number of responsible sources can satisfy agency requirements.","P_6_103_1_b_a: Agencies may contract without full and open competition when supplies or services are available from only one responsible source and no other type will satisfy requirements; P_6_103_1_b_b: For DoD, NASA, and the Coast Guard, the authority extends to situations where only a limited number of responsible sources can satisfy requirements","(P_6_103_1_b_a v P_6_103_1_b_b)","None","Addition (Add): Rule 8","VALID","PASS","PASS","No contradictions detected. Disjunction: general authority plus expanded DoD/NASA/USCG authority. Permissive statement.","HIGH"
"6.1 (Presolicitation)","6.103-1_c","P_6_103_1_c","6.103-1(c) Supplies and services may be deemed as available from only one source under this authority under the following circumstances-- (1) When an unsolicited research proposal shows a unique and innovative concept (see definition at 2.101) the substance of which is not otherwise available to the Federal Government and does not resemble the substance of a pending competitive acquisition. For DoD, NASA, and the Coast Guard, this authority extends to situations where a source demonstrates a unique capability to provide the particular research services proposed. (2) When awarding a follow-on contract for the continued development or production of a major system or highly specialized equipment and, for DoD, NASA, and the Coast Guard, for the continued provision of highly specialized services, would result in-- (i) Substantial duplication of cost to the Government that is not expected to be recovered through competition; or (ii) Unacceptable delays in fulfilling the agency's requirements.","P_6_103_1_c1: Unsolicited research proposal shows a unique and innovative concept (see definition at 2.101) not otherwise available to the Federal Government and does not resemble a pending competitive acquisition. For DoD, NASA, and the Coast Guard, extends to situations where a source demonstrates a unique capability to provide the particular research services proposed; P_6_103_1_c2i: Follow-on contract for continued development or production of a major system or highly specialized equipment (and for DoD/NASA/USCG, continued provision of highly specialized services) would result in substantial duplication of cost to the Government not expected to be recovered through competition; P_6_103_1_c2ii: Follow-on contract would result in unacceptable delays in fulfilling the agency's requirements","(P_6_103_1_c1 v P_6_103_1_c2i v P_6_103_1_c2ii)","None","Addition (Add): Rule 8","VALID","PASS","PASS","No contradictions detected. Three disjunctive circumstances under which sole-source is justified. Any one is sufficient. Long compound section; further decomposition may improve precision.","MEDIUM"
"6.1 (Presolicitation)","6.103-1_d","P_6_103_1_d","6.103-1(d) Application for brand-name descriptions. Except as authorized at 6.103-5, use of brand-name descriptions, or specification of attributes peculiar to one manufacturer, prevents full and open competition and should only be used when justified and approved according to 6.104. This does not apply to ""brand name or equal"" descriptions as they provide for full and open competition.","P_6_103_1_d_a: Except as authorized at 6.103-5, use of brand-name descriptions prevents full and open competition and should only be used when justified and approved per 6.104; P_6_103_1_d_b: This does not apply to brand name or equal descriptions as they provide for full and open competition","(~P_6_103_5 -> (P_6_103_1_d_a ^ P_6_104)) ^ P_6_103_1_d_b","P_6_103_5; P_6_104","Conjunction (Conj): Rule 7; Modus Ponens (MP): Rule 1","VALID","PASS","PASS","No contradictions detected. Conditional requirement with exception (6.103-5) and exclusion (brand name or equal). Cross-references 6.104 for J&A.","HIGH"
"6.1 (Presolicitation)","6.103-2_a","P_6_103_2_a","6.103-2(a) Unusual and compelling urgency. Authority. 10 U.S.C. 3204(a)(2) or 41 U.S.C. 3304(a)(2).","P_6_103_2_a_a: Authority for unusual and compelling urgency is 10 U.S.C. 3204(a)(2) or 41 U.S.C. 3304(a)(2).","P_6_103_2_a_a","None","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Statutory authority citation properly represented.","HIGH"
"6.1 (Presolicitation)","6.103-2_b","P_6_103_2_b","6.103-2(b) Urgency. Agencies may contract without providing for full and open competition when the agency's need for the supplies or services is of such an unusual and compelling urgency that the Government would be seriously injured, financially or otherwise, unless the agency is permitted to limit the number of sources from which it solicits bids or proposals.","P_6_103_2_b_a: Agency need is of such unusual and compelling urgency that the Government would be seriously injured; P_6_103_2_b_b: Agency is permitted to limit the number of sources from which it solicits bids or proposals","(P_6_103_2_b_a ^ ~P_6_103_2_b_b) -> May contract without full and open competition","None","Conjunction (Conj): Rule 7; De Morgan's Rule (DM): Rule 9; Modus Ponens (MP): Rule 1","VALID","PASS","PASS","No contradictions detected. Urgency condition combined with 'unless' clause (negated permission to limit sources) triggers the authority. The 'unless' functions as: Government would be injured IF NOT permitted to limit sources.","HIGH"
"6.1 (Presolicitation)","6.103-2_c","P_6_103_2_c","6.103-2(c) Period of performance. The total period of performance of a contract greater than the simplified acquisition threshold awarded or modified using this authority-- (1) May not exceed the time necessary (i) To meet the unusual and compelling requirements of the work to be performed under the contract; and (ii) For the agency to enter into another contract for the required goods and services through competitive procedures; and (2) May not exceed one year, including all options, unless the head of the agency determines that exceptional circumstances apply. This determination (i) Is separate from the justification and approval for the use of the unusual and compelling urgency authority and must be documented in the contract file; (ii) Does not cover any subsequent modification that further extends the period of performance, except for options included in the original determination. Such extensions must be approved at the same level as the original determination.","P_6_103_2_c1i: Period of performance may not exceed the time necessary to meet the unusual and compelling requirements; P_6_103_2_c1ii: Period of performance may not exceed time for the agency to enter into another contract through competitive procedures; P_6_103_2_c2: Period of performance may not exceed one year including all options unless agency head determines exceptional circumstances apply; P_6_103_2_c2i: The exceptional circumstances determination is separate from the J&A and must be documented in the contract file; P_6_103_2_c2ii: The determination does not cover subsequent modifications extending performance except for options in the original determination; extensions require same-level approval","(P_6_103_2_c1i ^ P_6_103_2_c1ii ^ P_6_103_2_c2) ^ (P_6_103_2_c2 -> (P_6_103_2_c2i ^ P_6_103_2_c2ii))","None","Conjunction (Conj): Rule 7; Modus Ponens (MP): Rule 1","VALID","PASS","PASS","No contradictions detected. Complex conjunction of performance period limits with conditional exception. All limits apply simultaneously. Long compound section; further decomposition may improve precision.","MEDIUM"
"6.1 (Presolicitation)","6.103-2_d","P_6_103_2_d","6.103-2(d) Documentation after award. The justification and approval for the use of this authority, as well as the determination described in paragraph (c)(2) of this section, may be made after contract award when making the determination before award would unreasonably delay the acquisition.","P_6_103_2_d_a: The J&A and exceptional circumstances determination may be made after contract award when making the determination before award would unreasonably delay the acquisition.","Unreasonable_delay -> P_6_103_2_d_a","P_6_103_2_c","Modus Ponens (MP): Rule 1","VALID","PASS","PASS","No contradictions detected. Conditional exception for post-award documentation. Cross-references paragraph (c)(2).","HIGH"
"6.1 (Presolicitation)","6.103-3_a","P_6_103_3_a","6.103-3(a) Industrial mobilization; engineering, developmental, or research capability; or expert services. Authority. 10 U.S.C. 3204(a)(3) or 41 U.S.C. 3304(a)(3).","P_6_103_3_a_a: Authority for industrial mobilization, engineering/developmental/research capability, or expert services is 10 U.S.C. 3204(a)(3) or 41 U.S.C. 3304(a)(3).","P_6_103_3_a_a","None","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Statutory authority citation properly represented.","HIGH"
"6.1 (Presolicitation)","6.103-3_b","P_6_103_3_b","6.103-3(b) Application. Agencies may contract without providing for full and open competition when it is necessary to award the contract to a particular source or sources in order-- (1) To maintain a facility, producer, manufacturer, or other supplier available for furnishing supplies or services in case of a national emergency or to achieve industrial mobilization; (2) To establish or maintain an essential engineering, research, or development capability to be provided by an educational or other nonprofit institution or a federally funded research and development center; or (3) To acquire the services of an expert or neutral person for any current or anticipated litigation or dispute.","P_6_103_3_b1: To maintain a facility or supplier available for furnishing supplies or services in case of national emergency or industrial mobilization; P_6_103_3_b2: To establish or maintain essential engineering, research, or development capability provided by an educational/nonprofit institution or FFRDC; P_6_103_3_b3: To acquire the services of an expert or neutral person for current or anticipated litigation or dispute","(P_6_103_3_b1 v P_6_103_3_b2 v P_6_103_3_b3)","None","Addition (Add): Rule 8","VALID","PASS","PASS","No contradictions detected. Three disjunctive justifications; any one is sufficient. Permissive statement.","HIGH"
"6.1 (Presolicitation)","6.103-4_a","P_6_103_4_a","6.103-4(a) International agreement. Authority. 10 U.S.C. 3204(a)(4) or 41 U.S.C. 3304(a)(4).","P_6_103_4_a_a: Authority for international agreement exception is 10 U.S.C. 3204(a)(4) or 41 U.S.C. 3304(a)(4).","P_6_103_4_a_a","None","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Statutory authority citation properly represented.","HIGH"
"6.1 (Presolicitation)","6.103-4_b","P_6_103_4_b","6.103-4(b) International agreement. Agencies may contract without providing for full and open competition when precluded by the-- (1) Terms of an international agreement or a treaty between the United States and a foreign government or international organization; or (2) The written directions of a foreign government reimbursing the agency for the cost of acquiring the supplies or services for such government.","P_6_103_4_b1: Terms of an international agreement or treaty between the US and a foreign government or international organization preclude full and open competition; P_6_103_4_b2: Written directions of a foreign government reimbursing the agency for the cost of acquisition preclude full and open competition","(P_6_103_4_b1 v P_6_103_4_b2)","None","Addition (Add): Rule 8","VALID","PASS","PASS","No contradictions detected. Two disjunctive conditions; either is sufficient. Permissive statement.","HIGH"
"6.1 (Presolicitation)","6.103-4_c","P_6_103_4_c","6.103-4(c) Limitations. Contracts awarded by DoD, NASA, and the Coast Guard using this authority do not require the written justifications and approvals described in 6.104.","P_6_103_4_c_a: DoD, NASA, and Coast Guard contracts using this authority do not require written J&A described in 6.104.","P_6_103_4_c_a","P_6_104","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Exemption from J&A for specific agencies. Cross-references 6.104.","HIGH"
"6.1 (Presolicitation)","6.103-5_a","P_6_103_5_a","6.103-5(a) Authorized or required by statute. Authority. 10 U.S.C. 3204(a)(5) or 41 U.S.C. 3304(a)(5).","P_6_103_5_a_a: Authority for statutory authorization or requirement is 10 U.S.C. 3204(a)(5) or 41 U.S.C. 3304(a)(5).","P_6_103_5_a_a","None","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Statutory authority citation properly represented.","HIGH"
"6.1 (Presolicitation)","6.103-5_b","P_6_103_5_b","6.103-5(b) Authorized or required by statute. Agencies may contract without providing for full and open competition when-- (1) A statute expressly authorizes or requires that the acquisition be made through another agency or from a specified source; or (2) The agency's need is for a brand-name commercial product for authorized resale (e.g., commercial products for resale through commissaries). This authority does not include other uses of brand name descriptions that generally preclude full and open competition and are required to be addressed in accordance with 6.103-1(d).","P_6_103_5_b1: A statute expressly authorizes or requires acquisition through another agency or from a specified source; P_6_103_5_b2: Agency's need is for a brand-name commercial product for authorized resale; this authority does not include other uses of brand name descriptions that preclude competition under 6.103-1(d)","(P_6_103_5_b1 v P_6_103_5_b2)","P_6_103_1_d","Addition (Add): Rule 8","VALID","PASS","PASS","No contradictions detected. Two disjunctive conditions; either is sufficient. Cross-references 6.103-1(d) for limitation on brand name authority.","HIGH"
"6.1 (Presolicitation)","6.103-5_c","P_6_103_5_c","6.103-5(c) Application. This authority may be used when statutes expressly authorize or require that acquisition be made from a specified source or through another agency. Examples include, but are not limited to: (1) Sole-source awards of certain socio-economic small business concerns (see 15 U.S.C. chapter 14A); and (2) Sole-source awards under the SBIR or STTR programs for Phase III (see 15 U.S.C. 638(r)(4)) or Phase II, when directly following a competitively awarded initial Phase II award (see 15 U.S.C. 638(ff)).","P_6_103_5_c1: Sole-source awards of certain socio-economic small business concerns (15 U.S.C. chapter 14A); P_6_103_5_c2: Sole-source awards under SBIR or STTR programs for Phase III or Phase II following a competitive initial Phase II award","(P_6_103_5_c1 v P_6_103_5_c2)","None","Addition (Add): Rule 8","VALID","PASS","PASS","No contradictions detected. Non-exhaustive examples of statutory authority; disjunctive.","HIGH"
"6.1 (Presolicitation)","6.103-5_d","P_6_103_5_d","6.103-5(d) Limitations. (1) Do not use this authority when a provision of law requires an agency to award a new contract to a specified non-Federal Government entity unless the provision of law specifically-- (i) Identifies the entity involved; and (ii) States that award to that entity must be made despite the merit-based selection procedures in 10 U.S.C. 3201(e) for armed services acquisitions or 41 U.S.C. 3105 for civilian agency acquisitions. (2) This limitation does not apply-- (i) When the work provided for in the contract continues the work performed by the specified entity under a preceding contract; or (ii) To any contract requiring the National Academy of Sciences to investigate, examine, or experiment upon any subject of science or art of significance to an executive agency and to report on those matters to the Congress or any agency of the Federal Government.","P_6_103_5_d1: Do not use this authority when a provision of law requires award to a specified non-Federal entity unless the law specifically identifies the entity and states award must be made despite merit-based selection procedures; P_6_103_5_d2i: Limitation does not apply when contract work continues work performed by the specified entity under a preceding contract; P_6_103_5_d2ii: Limitation does not apply to contracts requiring the National Academy of Sciences to investigate and report","P_6_103_5_d1 ^ (~P_6_103_5_d2i ^ ~P_6_103_5_d2ii -> P_6_103_5_d1)","None","Conjunction (Conj): Rule 7; Modus Ponens (MP): Rule 1","VALID","PASS","PASS","No contradictions detected. Primary prohibition with two disjunctive exceptions. Complex nested conditions; further decomposition may improve precision.","MEDIUM"
